axis,outer_group,condition_id,selected_pca_dimension,source_equal_group_mae,dimension_scores_json
sampling,w68dtmpfyf,sampling:density=1,8,0.08688133296956364,"[[8,0.08688133296956364],[16,0.0920180876256058],[32,0.09924268138446814]]"
sampling,w68dtmpfyf,sampling:density=0.75,8,0.08687411129595904,"[[8,0.08687411129595904],[16,0.09323637023508832],[32,0.09851968377459404]]"
sampling,w68dtmpfyf,sampling:density=0.625,8,0.08688910475362381,"[[8,0.08688910475362381],[16,0.09103316113963876],[32,0.09687543730125017]]"
sampling,w68dtmpfyf,sampling:density=0.5,8,0.0889895240197565,"[[8,0.0889895240197565],[16,0.09646465607376024],[32,0.10329750902845762]]"
sampling,w68dtmpfyf,sampling:density=0.375,8,0.08623751385479383,"[[8,0.08623751385479383],[16,0.09033752584491492],[32,0.09687530277232487]]"
sampling,w68dtmpfyf,sampling:density=0.25,8,0.08595390519020421,"[[8,0.08595390519020421],[16,0.09296395293203003],[32,0.10480437304976542]]"
sampling,w68dtmpfyf,sampling:density=0.1875,8,0.08826792283035798,"[[8,0.08826792283035798],[16,0.09472412058412022],[32,0.10395065625547942]]"
sampling,w68dtmpfyf,sampling:density=0.125,8,0.08785234673697966,"[[8,0.08785234673697966],[16,0.09492926803891717],[32,0.09695467410436696]]"
sampling,w68dtmpfyf,sampling:density=0.0625,8,0.09117099170535167,"[[8,0.09117099170535167],[16,0.09667829393933221],[32,0.10280710879937668]]"
sampling,xcmzfsbd9t,sampling:density=1,8,0.09896227978066927,"[[8,0.09896227978066927],[16,0.10348881997965012],[32,0.11294360786032878]]"
sampling,xcmzfsbd9t,sampling:density=0.75,8,0.09899941719422016,"[[8,0.09899941719422016],[16,0.10412225172481929],[32,0.11380709910694468]]"
sampling,xcmzfsbd9t,sampling:density=0.625,8,0.09839234474754345,"[[8,0.09839234474754345],[16,0.1011923539276175],[32,0.11154067049227208]]"
sampling,xcmzfsbd9t,sampling:density=0.5,8,0.09909249118891536,"[[8,0.09909249118891536],[16,0.10127332009363987],[32,0.11140886788784518]]"
sampling,xcmzfsbd9t,sampling:density=0.375,16,0.09792952710542985,"[[8,0.09866208021582606],[16,0.09792952710542985],[32,0.11056648946221322]]"
sampling,xcmzfsbd9t,sampling:density=0.25,8,0.09742728502013613,"[[8,0.09742728502013613],[16,0.09839518040423163],[32,0.1095179000004008]]"
sampling,xcmzfsbd9t,sampling:density=0.1875,16,0.09852105610631993,"[[8,0.09868368353420097],[16,0.09852105610631993],[32,0.1151537622838148]]"
sampling,xcmzfsbd9t,sampling:density=0.125,8,0.09706889792739243,"[[8,0.09706889792739243],[16,0.09998250988485116],[32,0.11707886220639878]]"
sampling,xcmzfsbd9t,sampling:density=0.0625,8,0.0980594011966199,"[[8,0.0980594011966199],[16,0.10151765607051985],[32,0.10960139055728324]]"
