outer_domain,scorer,nominal_checkpoint,specimen_count,state_count,mean_exact_acquired_cost,mean_effective_budget,next_action_regret,one_step_cai_utility,spearman,ndcg,recall_at_k
cgtnjyggtm,dynamic_shuffled,0.03125,49,245,8431.718367346939,0.01853328578381567,0.019292607369619148,0.00021370977637680233,0.007433654780593555,0.8791412216688375,0.03183673469387755
cgtnjyggtm,dynamic_shuffled,0.0625,49,245,27786.395918367343,0.06107571363527277,0.014156201380531419,0.00006626943249811734,0.042034345418015644,0.894001127640989,0.049795918367346946
cgtnjyggtm,dynamic_shuffled,0.09375,49,245,41713.208163265306,0.09168745612323399,0.013126494065397237,0.00010710109782247479,0.047116926382696704,0.8943198153932362,0.0669387755102041
cgtnjyggtm,dynamic_shuffled,0.125,49,245,56042.477551020405,0.12318381701510146,0.012861934601184507,0.000010419536106711676,0.04435994421723929,0.8919738664475916,0.06612244897959184
cgtnjyggtm,dynamic_shuffled,0.1875,49,245,84528.77551020408,0.185797945950553,0.010876867688652994,0.00003548545481344874,0.03657664318893677,0.8852551012604484,0.07918367346938776
cgtnjyggtm,static_m1_o2,0.03125,49,245,8431.718367346939,0.01853328578381567,0.018040388942838072,0.0014659282031578783,0.008186065635045226,0.9037492693488577,0.15020408163265306
cgtnjyggtm,static_m1_o2,0.0625,49,245,27786.395918367343,0.06107571363527277,0.016052235242146697,-0.0018297644291171613,-0.0006579152311083347,0.8978448878178662,0.11102040816326532
cgtnjyggtm,static_m1_o2,0.09375,49,245,41713.208163265306,0.09168745612323399,0.01539077269615732,-0.0021571775329376104,0.00009031759514644536,0.895575824968709,0.10285714285714286
cgtnjyggtm,static_m1_o2,0.125,49,245,56042.477551020405,0.12318381701510146,0.015062198808417495,-0.002189844671126276,-0.009996299410263016,0.8938716764717971,0.10204081632653061
cgtnjyggtm,static_m1_o2,0.1875,49,245,84528.77551020408,0.185797945950553,0.012609523517244123,-0.0016971703737776805,-0.019235924897477958,0.8869805298730615,0.11918367346938777
w68dtmpfyf,candidate_only_static,0.03125,43,215,8433.990697674419,0.018538280465269633,0.01478727778968214,-0.00011482298619408043,0.04479597921458386,0.9213640465228154,0.09023255813953489
w68dtmpfyf,candidate_only_static,0.0625,43,215,27782.46046511628,0.06106706333688598,0.010921708310100553,-0.0004268615459431119,0.040392833470032065,0.9127330370479877,0.09674418604651164
w68dtmpfyf,candidate_only_static,0.09375,43,215,41688.12558139535,0.09163232351114484,0.010750257863435482,-0.0004098391735066698,0.03351957269627261,0.9081392010422515,0.10418604651162791
w68dtmpfyf,candidate_only_static,0.125,43,215,56016.31627906977,0.12312631339503191,0.010867784608942322,-0.00021342963231310902,0.030068905544764726,0.9046064402108289,0.10232558139534885
w68dtmpfyf,candidate_only_static,0.1875,43,215,84458.2976744186,0.18564303258472054,0.01002820005672592,-0.00020417222136081254,0.04052911899477584,0.9009642401782183,0.1172093023255814
w68dtmpfyf,dynamic_positions_only,0.03125,43,215,8433.990697674419,0.018538280465269633,0.014875744130386599,-0.0002032893268985372,0.10714307010818637,0.9219476899007599,0.036279069767441864
w68dtmpfyf,dynamic_positions_only,0.0625,43,215,27782.46046511628,0.06106706333688598,0.010806316165501994,-0.00031146940134455306,0.09652107304884228,0.9138421211916757,0.05023255813953489
w68dtmpfyf,dynamic_positions_only,0.09375,43,215,41688.12558139535,0.09163232351114484,0.010493430998731325,-0.00015301230880251216,0.07642609243609155,0.9081896124298933,0.04744186046511628
w68dtmpfyf,dynamic_positions_only,0.125,43,215,56016.31627906977,0.12312631339503191,0.010588781575321839,0.00006557340130737277,0.0755724195608921,0.9041324304125927,0.04744186046511628
w68dtmpfyf,dynamic_positions_only,0.1875,43,215,84458.2976744186,0.18564303258472054,0.009699804807834705,0.00012422302753040254,0.09070263280843828,0.9013246927724978,0.05767441860465116
w68dtmpfyf,dynamic_real,0.03125,43,215,8433.990697674419,0.018538280465269633,0.014713410660809915,-0.00004095585732185369,0.10878694948462389,0.9221172421313085,0.08093023255813954
w68dtmpfyf,dynamic_real,0.0625,43,215,27782.46046511628,0.06106706333688598,0.009833347637789258,0.0006614991263681831,0.09379253810705424,0.9150264296115698,0.05023255813953489
