scope,outer_domain,nominal_checkpoint,metric,control_scorer,direction,estimate,bootstrap_mean,ci95_lower,ci95_upper,fraction_above_zero,bootstrap_replicates,seed,fraction_below_zero
domain,w68dtmpfyf,0.03125,real_minus_control_regret,static_m1_o2,negative_favors_dynamic_real,-0.004096541609300531,-0.0041420329660989295,-0.011183563205397318,0.00250050621671499,0.1194,5000,20250826,0.8806
domain,xcmzfsbd9t,0.03125,real_minus_control_regret,static_m1_o2,negative_favors_dynamic_real,-0.00005779048265398129,-0.00004084678037933564,-0.005111312639840119,0.005031674575929416,0.5,5000,20250826,0.5
domain,yfxyg8jm46,0.03125,real_minus_control_regret,static_m1_o2,negative_favors_dynamic_real,0.002379266868001998,0.002358011484788041,-0.0035413722450781146,0.0082991551020942,0.7804,5000,20250826,0.2196
domain,ykhs7s2dck,0.03125,real_minus_control_regret,static_m1_o2,negative_favors_dynamic_real,-0.00195740258787196,-0.0019460117026018754,-0.005302065894219303,0.0015305139637573097,0.1314,5000,20250826,0.8686
equal_domain,__equal_domain__,0.03125,real_minus_control_regret,static_m1_o2,negative_favors_dynamic_real,-0.00002170493702169634,-0.00003124319379259132,-0.0021934027822642387,0.002079050073894933,0.4894,5000,20250826,0.5106
domain,74t7kcdgkr,0.0625,real_minus_control_regret,static_m1_o2,negative_favors_dynamic_real,0.0008800730697657803,0.0008631795244932686,-0.001149138611881084,0.0028560290414217384,0.7986,5000,20250826,0.2014
domain,cgtnjyggtm,0.0625,real_minus_control_regret,static_m1_o2,negative_favors_dynamic_real,-0.0021034230741418768,-0.002099309418044239,-0.005067143926528776,0.0003451889727631823,0.0476,5000,20250826,0.9524
domain,w68dtmpfyf,0.0625,real_minus_control_regret,static_m1_o2,negative_favors_dynamic_real,-0.006160659227683283,-0.006194805858697269,-0.010168215175916267,-0.0024656833967100834,0.0,5000,20250826,1.0
domain,xcmzfsbd9t,0.0625,real_minus_control_regret,static_m1_o2,negative_favors_dynamic_real,-0.0009147831809270604,-0.0009133486202554045,-0.003316264256988283,0.0014554400067119594,0.2356,5000,20250826,0.7644
domain,yfxyg8jm46,0.0625,real_minus_control_regret,static_m1_o2,negative_favors_dynamic_real,-0.002127843270670742,-0.002118024685141948,-0.00485948838353766,0.00041438791218932,0.0542,5000,20250826,0.9458
domain,ykhs7s2dck,0.0625,real_minus_control_regret,static_m1_o2,negative_favors_dynamic_real,0.0006375407389469148,0.0006222236876316787,-0.0012039724172538285,0.0025989222729783383,0.7288,5000,20250826,0.2712
equal_domain,__equal_domain__,0.0625,real_minus_control_regret,static_m1_o2,negative_favors_dynamic_real,-0.0016315158241183778,-0.0016400142283356522,-0.002767245219471872,-0.0005600522221235946,0.002,5000,20250826,0.998
domain,74t7kcdgkr,0.09375,real_minus_control_regret,static_m1_o2,negative_favors_dynamic_real,0.0003279558026446222,0.0003189995574700873,-0.0014870350853266618,0.0020625342147634796,0.6382,5000,20250826,0.3618
domain,cgtnjyggtm,0.09375,real_minus_control_regret,static_m1_o2,negative_favors_dynamic_real,-0.0023936976135024643,-0.0023876129537346294,-0.00531489697061929,0.00007637406785317751,0.0284,5000,20250826,0.9716
domain,w68dtmpfyf,0.09375,real_minus_control_regret,static_m1_o2,negative_favors_dynamic_real,-0.005302613407889548,-0.005334077892222834,-0.008941590923036159,-0.0019208882505696925,0.0002,5000,20250826,0.9998
domain,xcmzfsbd9t,0.09375,real_minus_control_regret,static_m1_o2,negative_favors_dynamic_real,-0.0008158965841708332,-0.0008300866148140158,-0.0032534234098480297,0.0015467855108935045,0.2516,5000,20250826,0.7484
domain,yfxyg8jm46,0.09375,real_minus_control_regret,static_m1_o2,negative_favors_dynamic_real,-0.0016842122558236063,-0.0016767273630272292,-0.004136161271001917,0.0007804132720852661,0.094,5000,20250826,0.906
