target_id,target_mae,source_method,source_budget,grid,method,cost,attained_mae,status,later_recrosses_target,main_cost,absolute_saving,relative_saving
ANCHOR_CENTER_FIRST_0.25,48.02656921386719,CENTER_FIRST,0.25,SECONDARY_EVENT_GRID,LEARNED_STATIC_TRUE,0.06240685789647214,45.96669342041016,REACHED,True,0.03138806462248599,0.031018793273986156,0.4970414201183432
ANCHOR_CENTER_FIRST_0.25,48.02656921386719,CENTER_FIRST,0.25,SECONDARY_EVENT_GRID,NO_VLM_SPATIAL_FEEDBACK,0.03120342894823607,45.153423156738285,REACHED,False,0.03138806462248599,-0.00018463567424991528,-0.00591715976331364
ANCHOR_CENTER_FIRST_0.25,48.02656921386719,CENTER_FIRST,0.25,SECONDARY_EVENT_GRID,VLM_MEAN_FEEDBACK,0.03106508875739645,47.672654418945314,REACHED,False,0.03138806462248599,-0.00032297586508953785,-0.010396746895263265
ANCHOR_CENTER_FIRST_0.25,48.02656921386719,CENTER_FIRST,0.25,SECONDARY_EVENT_GRID,VLM_SPATIAL_FEEDBACK,0.03138806462248599,45.35416320800781,REACHED,False,0.03138806462248599,0.0,0.0
ANCHOR_CENTER_FIRST_0.25,48.02656921386719,CENTER_FIRST,0.25,SECONDARY_EVENT_GRID,VLM_SPATIAL_OPEN_LOOP,0.015694032311242993,47.1242431640625,REACHED,True,0.03138806462248599,-0.015694032311242993,-1.0
ANCHOR_CENTER_FIRST_0.25,48.02656921386719,CENTER_FIRST,0.25,SECONDARY_EVENT_GRID,FULL_SCAN_P_ALL,1.0,41.69001007080078,REACHED,False,0.03138806462248599,0.968611935377514,0.968611935377514
ANCHOR_GEOMETRY_SPREAD_0.0625,50.22089508056641,GEOMETRY_SPREAD,0.0625,PRIMARY_FIVE_BUDGETS,CENTER_FIRST,0.0625,47.885134887695315,REACHED,False,0.0625,0.0,0.0
ANCHOR_GEOMETRY_SPREAD_0.0625,50.22089508056641,GEOMETRY_SPREAD,0.0625,PRIMARY_FIVE_BUDGETS,GEOMETRY_SPREAD,0.0625,50.22089508056641,REACHED,False,0.0625,0.0,0.0
ANCHOR_GEOMETRY_SPREAD_0.0625,50.22089508056641,GEOMETRY_SPREAD,0.0625,PRIMARY_FIVE_BUDGETS,SERPENTINE,0.0625,49.73057769775391,REACHED,False,0.0625,0.0,0.0
ANCHOR_GEOMETRY_SPREAD_0.0625,50.22089508056641,GEOMETRY_SPREAD,0.0625,PRIMARY_FIVE_BUDGETS,RANDOM,0.125,49.153046874999994,REACHED,False,0.0625,0.0625,0.5
ANCHOR_GEOMETRY_SPREAD_0.0625,50.22089508056641,GEOMETRY_SPREAD,0.0625,PRIMARY_FIVE_BUDGETS,LEARNED_STATIC_TRUE,0.0625,46.46498809814453,REACHED,False,0.0625,0.0,0.0
ANCHOR_GEOMETRY_SPREAD_0.0625,50.22089508056641,GEOMETRY_SPREAD,0.0625,PRIMARY_FIVE_BUDGETS,NO_VLM_SPATIAL_FEEDBACK,0.0625,43.32439086914062,REACHED,False,0.0625,0.0,0.0
ANCHOR_GEOMETRY_SPREAD_0.0625,50.22089508056641,GEOMETRY_SPREAD,0.0625,PRIMARY_FIVE_BUDGETS,VLM_MEAN_FEEDBACK,0.0625,44.512246704101564,REACHED,False,0.0625,0.0,0.0
ANCHOR_GEOMETRY_SPREAD_0.0625,50.22089508056641,GEOMETRY_SPREAD,0.0625,PRIMARY_FIVE_BUDGETS,VLM_SPATIAL_FEEDBACK,0.0625,46.98702209472656,REACHED,False,0.0625,0.0,0.0
ANCHOR_GEOMETRY_SPREAD_0.0625,50.22089508056641,GEOMETRY_SPREAD,0.0625,PRIMARY_FIVE_BUDGETS,VLM_SPATIAL_OPEN_LOOP,0.0625,44.70976043701172,REACHED,False,0.0625,0.0,0.0
ANCHOR_GEOMETRY_SPREAD_0.0625,50.22089508056641,GEOMETRY_SPREAD,0.0625,PRIMARY_FIVE_BUDGETS,FULL_SCAN_P_ALL,1.0,41.69001007080078,REACHED,False,0.0625,0.9375,0.9375
ANCHOR_GEOMETRY_SPREAD_0.0625,50.22089508056641,GEOMETRY_SPREAD,0.0625,SECONDARY_EVENT_GRID,CENTER_FIRST,0.046897461259479065,48.85898315429687,REACHED,False,0.03138806462248599,0.015509396636993078,0.3307086614173229
ANCHOR_GEOMETRY_SPREAD_0.0625,50.22089508056641,GEOMETRY_SPREAD,0.0625,SECONDARY_EVENT_GRID,GEOMETRY_SPREAD,0.062037586547972305,49.884705505371095,REACHED,True,0.03138806462248599,0.03064952192548632,0.49404761904761907
ANCHOR_GEOMETRY_SPREAD_0.0625,50.22089508056641,GEOMETRY_SPREAD,0.0625,SECONDARY_EVENT_GRID,SERPENTINE,0.06240685789647214,49.73057769775391,REACHED,False,0.03138806462248599,0.031018793273986156,0.4970414201183432
ANCHOR_GEOMETRY_SPREAD_0.0625,50.22089508056641,GEOMETRY_SPREAD,0.0625,SECONDARY_EVENT_GRID,RANDOM,0.10911968348170129,50.173823120117184,REACHED,False,0.03138806462248599,0.0777316188592153,0.7123519458544839
ANCHOR_GEOMETRY_SPREAD_0.0625,50.22089508056641,GEOMETRY_SPREAD,0.0625,SECONDARY_EVENT_GRID,LEARNED_STATIC_TRUE,0.04671282558522915,49.49462860107422,REACHED,False,0.03138806462248599,0.015324760962743163,0.32806324110671947
ANCHOR_GEOMETRY_SPREAD_0.0625,50.22089508056641,GEOMETRY_SPREAD,0.0625,SECONDARY_EVENT_GRID,NO_VLM_SPATIAL_FEEDBACK,0.015715280194918205,48.84876586914063,REACHED,False,0.03138806462248599,-0.015672784427567782,-0.9972958950255202
ANCHOR_GEOMETRY_SPREAD_0.0625,50.22089508056641,GEOMETRY_SPREAD,0.0625,SECONDARY_EVENT_GRID,VLM_MEAN_FEEDBACK,0.031018793273986153,49.256971740722655,REACHED,False,0.03138806462248599,-0.00036927134849983403,-0.011904761904761862
ANCHOR_GEOMETRY_SPREAD_0.0625,50.22089508056641,GEOMETRY_SPREAD,0.0625,SECONDARY_EVENT_GRID,VLM_SPATIAL_FEEDBACK,0.03138806462248599,45.35416320800781,REACHED,False,0.03138806462248599,0.0,0.0
ANCHOR_GEOMETRY_SPREAD_0.0625,50.22089508056641,GEOMETRY_SPREAD,0.0625,SECONDARY_EVENT_GRID,VLM_SPATIAL_OPEN_LOOP,0.015694032311242993,47.1242431640625,REACHED,False,0.03138806462248599,-0.015694032311242993,-1.0
ANCHOR_GEOMETRY_SPREAD_0.0625,50.22089508056641,GEOMETRY_SPREAD,0.0625,SECONDARY_EVENT_GRID,FULL_SCAN_P_ALL,1.0,41.69001007080078,REACHED,False,0.03138806462248599,0.968611935377514,0.968611935377514
ANCHOR_GEOMETRY_SPREAD_0.125,46.188976745605466,GEOMETRY_SPREAD,0.125,PRIMARY_FIVE_BUDGETS,CENTER_FIRST,,,NOT_REACHED_WITHIN_OBSERVED_RANGE,,0.125,,
ANCHOR_GEOMETRY_SPREAD_0.125,46.188976745605466,GEOMETRY_SPREAD,0.125,PRIMARY_FIVE_BUDGETS,GEOMETRY_SPREAD,0.125,46.188976745605466,REACHED,True,0.125,0.0,0.0
ANCHOR_GEOMETRY_SPREAD_0.125,46.188976745605466,GEOMETRY_SPREAD,0.125,PRIMARY_FIVE_BUDGETS,SERPENTINE,,,NOT_REACHED_WITHIN_OBSERVED_RANGE,,0.125,,
ANCHOR_GEOMETRY_SPREAD_0.125,46.188976745605466,GEOMETRY_SPREAD,0.125,PRIMARY_FIVE_BUDGETS,RANDOM,,,NOT_REACHED_WITHIN_OBSERVED_RANGE,,0.125,,
ANCHOR_GEOMETRY_SPREAD_0.125,46.188976745605466,GEOMETRY_SPREAD,0.125,PRIMARY_FIVE_BUDGETS,LEARNED_STATIC_TRUE,,,NOT_REACHED_WITHIN_OBSERVED_RANGE,,0.125,,
ANCHOR_GEOMETRY_SPREAD_0.125,46.188976745605466,GEOMETRY_SPREAD,0.125,PRIMARY_FIVE_BUDGETS,NO_VLM_SPATIAL_FEEDBACK,0.0625,43.32439086914062,REACHED,False,0.125,-0.0625,-1.0
