outer_domain,specimen_id,nominal_checkpoint,feedback_exact_cost,feedback_effective_budget,feedback_cai_error,feedback_trajectory_count,no_feedback_exact_cost,no_feedback_effective_budget,no_feedback_cai_error,no_feedback_trajectory_count,feedback_benefit,exact_cost_difference
w68dtmpfyf,q16-10,0.09375,42164,0.092678316298494,0.009496313771703,1,42164,0.092678316298494,0.009496313771703,1,0,0
w68dtmpfyf,q16-10,0.125,56298,0.123745466534784,0.009223919180347,1,56372,0.123908121771623,0.009251464114103,1,0.000027544933756,74
w68dtmpfyf,q16-10,0.1875,84398,0.185510495658864,0.008676062196955,1,84524,0.185787449170238,0.00871630913097,1,0.000040246934015,126
w68dtmpfyf,q16-10,0.25,112296,0.246831519947247,0.008057345545114,1,112496,0.247271128695461,0.00806158824818,1,0.000004242703066,200
w68dtmpfyf,q16-11,0.03125,14138,0.031075942411254,0.050292305859135,1,14138,0.031075942411254,0.050292305859135,1,0,0
w68dtmpfyf,q16-11,0.0625,28178,0.061936476535883,0.04975079008502,1,28178,0.061936476535883,0.04975079008502,1,0,0
w68dtmpfyf,q16-11,0.09375,42312,0.093003626772173,0.049462472302692,1,42164,0.092678316298494,0.049447250789536,1,-0.000015221513156,-148
w68dtmpfyf,q16-11,0.125,56298,0.123745466534784,0.049261900147021,1,56372,0.123908121771623,0.049297065628209,1,0.000035165481188,74
w68dtmpfyf,q16-11,0.1875,84398,0.185510495658864,0.049149537051725,1,84524,0.185787449170238,0.049157010736357,1,0.000007473684632,126
w68dtmpfyf,q16-11,0.25,112422,0.247108473458622,0.049151903174589,1,112496,0.247271128695461,0.04916159285567,1,0.000009689681081,74
w68dtmpfyf,q16-12,0.03125,14138,0.031075942411254,0.031988894691115,1,14138,0.031075942411254,0.031988894691115,1,0,0
w68dtmpfyf,q16-12,0.0625,28178,0.061936476535883,0.030857659508811,1,28178,0.061936476535883,0.030857659508811,1,0,0
w68dtmpfyf,q16-12,0.09375,42164,0.092678316298494,0.030141804538447,1,42164,0.092678316298494,0.030141804538447,1,0,0
w68dtmpfyf,q16-12,0.125,56298,0.123745466534784,0.029520261593639,1,56372,0.123908121771623,0.029519367362377,1,-0.000000894231262,74
w68dtmpfyf,q16-12,0.1875,84398,0.185510495658864,0.028556600128,1,84524,0.185787449170238,0.028581840947629,1,0.000025240819629,126
w68dtmpfyf,q16-12,0.25,112296,0.246831519947247,0.027805517667711,1,112496,0.247271128695461,0.027824616358747,1,0.000019098691036,200
w68dtmpfyf,q16-13,0.03125,14138,0.031075942411254,0.059789122187758,1,14138,0.031075942411254,0.059789122187758,1,0,0
w68dtmpfyf,q16-13,0.0625,28178,0.061936476535883,0.059524847477348,1,28178,0.061936476535883,0.059524847477348,1,0,0
w68dtmpfyf,q16-13,0.09375,42312,0.093003626772173,0.059402187668071,1,42164,0.092678316298494,0.059435032717043,1,0.000032845048972,-148
w68dtmpfyf,q16-13,0.125,56298,0.123745466534784,0.05934109274391,1,56278,0.123701505659963,0.059308326021763,1,-0.000032766722147,-20
w68dtmpfyf,q16-13,0.1875,84376,0.18546213869656,0.059277700232857,1,84524,0.185787449170238,0.059138670116977,1,-0.00013903011588,148
w68dtmpfyf,q16-13,0.25,112422,0.247108473458622,0.059200939943526,1,112422,0.247108473458622,0.059179008432289,1,-0.000021931511237,0
w68dtmpfyf,q16-14,0.03125,14138,0.031075942411254,0.052775749670749,1,14138,0.031075942411254,0.052775749670749,1,0,0
w68dtmpfyf,q16-14,0.0625,28178,0.061936476535883,0.052601028631225,1,28178,0.061936476535883,0.052601028631225,1,0,0
w68dtmpfyf,q16-14,0.09375,42312,0.093003626772173,0.052548836856268,1,42164,0.092678316298494,0.052442390699941,1,-0.000106446156327,-148
w68dtmpfyf,q16-14,0.125,56298,0.123745466534784,0.052435158523021,1,56278,0.123701505659963,0.052371739903027,1,-0.000063418619994,-20
w68dtmpfyf,q16-14,0.1875,84376,0.18546213869656,0.052398893202654,1,84524,0.185787449170238,0.052433565877562,1,0.000034672674908,148
w68dtmpfyf,q16-14,0.25,112422,0.247108473458622,0.052448630737067,1,112422,0.247108473458622,0.052429806189922,1,-0.000018824547145,0
w68dtmpfyf,q16-15,0.03125,14138,0.031075942411254,0.038930628987244,1,14138,0.031075942411254,0.038930628987244,1,0,0
w68dtmpfyf,q16-15,0.0625,28178,0.061936476535883,0.038831258354185,1,28178,0.061936476535883,0.038831258354185,1,0,0
w68dtmpfyf,q16-15,0.09375,42312,0.093003626772173,0.038868306942811,1,42164,0.092678316298494,0.038787578094304,1,-0.000080728848507,-148
w68dtmpfyf,q16-15,0.125,56298,0.123745466534784,0.038932900465194,1,56278,0.123701505659963,0.038903031835604,1,-0.00002986862959,-20
w68dtmpfyf,q16-15,0.1875,84376,0.18546213869656,0.039305031214796,1,84398,0.185510495658864,0.039260854885018,1,-0.000044176329778,22
w68dtmpfyf,q16-15,0.25,112422,0.247108473458622,0.039571264095852,1,112422,0.247108473458622,0.039625205169919,1,0.000053941074067,0
w68dtmpfyf,q16-16,0.03125,14138,0.031075942411254,0.003493572556237,1,14138,0.031075942411254,0.003493572556237,1,0,0
