specimen_id,domain_id,held_out_domain,endpoint,model,truth,prediction,residual,fold_state_sha256
q24-7,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.0381255,0.80054409115221081,0.23758140884778922,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-8,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,0.92328124999999994,0.7727253582902458,0.15055589170975414,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-9,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,0.94843749999999993,0.77020327165470814,0.17823422834529179,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q16-1,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,0.93218749999999995,0.90382127143779556,0.028366228562204387,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-10,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,0.85421875000000003,0.79000729585142304,0.064211454148576985,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-11,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,0.93812499999999999,0.89671349351788199,0.041411506482117999,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-12,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,0.93687500000000001,0.82729324139699589,0.10958175860300412,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-13,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,1.3409374999999999,1.4102941352423328,-0.069356635242332931,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-14,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,1.28125,1.3507760245961873,-0.069526024596187286,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-15,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,1.3121880000000001,1.3319049270438172,-0.019716927043817112,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-16,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,1.2989057500000001,1.374143365614318,-0.075237615614317965,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-17,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,1.2167192499999999,1.2912984071242972,-0.074579157124297302,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-18,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,1.3074999999999999,1.3503356281830161,-0.042835628183016228,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-19,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,1.335,1.4229221978401005,-0.08792219784010058,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-2,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,0.94593749999999999,0.93802208453653346,0.0079154154634665241,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-20,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,1.2096875,1.1926256449559414,0.01706185504405866,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-21,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,1.27609375,1.3862129178365641,-0.11011916783656406,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-22,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,1.2687505000000001,1.3825373737672764,-0.11378687376727625,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-23,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,1.2165625,1.2368347276310998,-0.020272227631099815,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-24,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,1.2140629999999999,1.2782844462721623,-0.064221446272162419,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-25,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,1.0840625000000002,1.1203424853260264,-0.036279985326026276,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-26,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,1.0631254999999999,1.0684545976771924,-0.0053290976771924736,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-27,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,1.1296875,1.1397249526672315,-0.01003745266723155,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-28,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,0.75718750000000001,0.60454537606261805,0.15264212393738197,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-29,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,1.15359425,1.0861941822199523,0.067400067780047701,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-3,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,1.0884375000000002,1.1457666856464213,-0.057329185646421088,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-30,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,1.0362505000000002,1.027770796138622,0.0084797038613781961,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-31,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,1.1121874999999999,1.1597438560482838,-0.047556356048283899,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-32,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,0.79093750000000007,0.71147248417082165,0.07946501582917842,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-33,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,0.80499999999999994,0.73589637561587384,0.069103624384126094,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-34,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,0.87437500000000001,0.74330745707945789,0.13106754292054212,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-35,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,0.92156250000000006,0.86272341961691845,0.05883908038308161,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-36,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,0.91812500000000008,0.87631285793203184,0.041812142067968239,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-37,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,0.93453125000000004,0.85929431812270618,0.075236931877293856,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-38,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,1.06953125,1.1127354527042803,-0.04320420270428027,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-39,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,1.1187499999999999,1.1694249635345033,-0.050674963534503403,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-4,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,1.1850004999999999,1.272274845344447,-0.087274345344447113,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-40,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,1.0831255,1.1532746821173876,-0.070149182117387632,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
q16-41,w68dtmpfyf,w68dtmpfyf,extension_peak_mm,strength_only,1.2259374999999999,1.208530520710716,0.017406979289283919,4843fb1e2750448abc1c71f2bea46b26065fd6c4048b8687fc190f47f835d183
