dataset_id,specimen_id,comparison,first_method,second_method,nominal_checkpoint,first_action_count,second_action_count,exact_action_jaccard,normalized_symmetric_cell_distance,first_mean_radial_position,second_mean_radial_position,first_minus_second_level2_fraction
74t7kcdgkr,c8-16,oracle,reconstruction_oracle,mechanical_oracle,0.1875,25,32,0.29545454545454547,0.08025943661043894,0.7357873406523125,0.5541463189675493,0.16375
74t7kcdgkr,c8-16,oracle,reconstruction_oracle,mechanical_oracle,0.25,30,40,0.25,0.07343184443584598,0.7357873406523124,0.5725434318784285,0.20833333333333334
74t7kcdgkr,c8-17,learned,global_reconstruction_mask,global_mechanical_mask,0.03125,0,0,,,,,
74t7kcdgkr,c8-17,learned,global_reconstruction_mask,global_mechanical_mask,0.0625,8,8,0.14285714285714285,0.17334148741614824,0.6458129475106507,0.30055909925208985,0
74t7kcdgkr,c8-17,learned,global_reconstruction_mask,global_mechanical_mask,0.09375,17,17,0.1724137931034483,0.11417562069434563,0.7099709625428269,0.4416624105492218,0
74t7kcdgkr,c8-17,learned,global_reconstruction_mask,global_mechanical_mask,0.125,26,26,0.20930232558139536,0.08392047794235882,0.701420149422866,0.47317468854151695,0
74t7kcdgkr,c8-17,learned,global_reconstruction_mask,global_mechanical_mask,0.1875,44,45,0.48333333333333334,0.03517677674084592,0.6773947835558639,0.5789629773128685,0
74t7kcdgkr,c8-17,learned,global_reconstruction_mask,global_mechanical_mask,0.25,64,64,1,0,0.6148687895716815,0.6148687895716815,0
74t7kcdgkr,c8-17,oracle,reconstruction_oracle,mechanical_oracle,0.03125,0,0,,,,,
74t7kcdgkr,c8-17,oracle,reconstruction_oracle,mechanical_oracle,0.0625,8,6,0.16666666666666666,0.15492161607081842,0.748110392172823,0.4162936044012979,-0.16666666666666666
74t7kcdgkr,c8-17,oracle,reconstruction_oracle,mechanical_oracle,0.09375,17,14,0.14814814814814814,0.11469795490626625,0.7193196355709632,0.515433893742759,-0.07142857142857142
