outer_domain,specimen_id,method,nominal_checkpoint,mean_exact_acquired_cost,mean_effective_budget,cai_mae,reconstruction_mse,trajectory_count
74t7kcdgkr,c8-11,one_shot_mechanical_oracle,0.0625,7430.0,0.06244956966110812,0.18859749541166626,0.0033309573833928373,1
74t7kcdgkr,c8-11,one_shot_mechanical_oracle,0.09375,11146.0,0.09368275954814416,0.1881369011893549,0.0030093705942122228,1
74t7kcdgkr,c8-11,one_shot_mechanical_oracle,0.125,14778.0,0.12420992469069392,0.18767063646906856,0.0027796203626320745,1
74t7kcdgkr,c8-11,one_shot_mechanical_oracle,0.1875,22298.0,0.1874159494351802,0.18623379380174965,0.002583017312688593,1
74t7kcdgkr,c8-11,one_shot_mechanical_oracle,0.25,29744.0,0.25,0.18436667535294338,0.0014088850169832335,1
74t7kcdgkr,c8-11,random,0.03125,3720.0,0.03126681011296396,0.18834576007349646,0.003663424665221312,1
74t7kcdgkr,c8-11,random,0.0625,7082.0,0.05952461000537924,0.1885470761254261,0.0031481029075519362,1
74t7kcdgkr,c8-11,random,0.09375,10845.0,0.09115283754706832,0.18825575429195884,0.0028496059707797793,1
74t7kcdgkr,c8-11,random,0.125,14761.0,0.12406703873050028,0.18757102828765815,0.0025838454310306855,1
74t7kcdgkr,c8-11,random,0.1875,21953.0,0.18451620494889726,0.1860600010631045,0.002269698134750038,1
74t7kcdgkr,c8-11,random,0.25,29706.0,0.2496806078536848,0.18432552412117642,0.0020348069772477546,1
74t7kcdgkr,c8-11,reconstruction_driven,0.03125,3720.0,0.03126681011296396,0.18834576007349646,0.003663424665221312,1
74t7kcdgkr,c8-11,reconstruction_driven,0.0625,7133.0,0.05995326788596019,0.18840128815744073,0.002344715402008455,1
74t7kcdgkr,c8-11,reconstruction_driven,0.09375,11068.0,0.09302716514254976,0.18811206601308217,0.0016362141872855206,1
74t7kcdgkr,c8-11,reconstruction_driven,0.125,14789.0,0.1243023803119957,0.18744725362077397,0.0013702558384152742,1
74t7kcdgkr,c8-11,reconstruction_driven,0.1875,22138.0,0.18607114039806347,0.1859685776570732,0.0009226099194824241,1
74t7kcdgkr,c8-11,reconstruction_driven,0.25,29498.0,0.24793235610543302,0.18436198114353475,0.0006757517194701118,1
74t7kcdgkr,c8-11,sequential_mechanical_oracle,0.03125,3720.0,0.03126681011296396,0.18834576007349646,0.003663424665221312,1
74t7kcdgkr,c8-11,sequential_mechanical_oracle,0.0625,7140.0,0.06001210328133405,0.1886119391329234,0.003327539865668692,1
74t7kcdgkr,c8-11,sequential_mechanical_oracle,0.09375,10955.0,0.09207739376008607,0.18810493776916548,0.0027954095461415135,1
74t7kcdgkr,c8-11,sequential_mechanical_oracle,0.125,14854.0,0.12484870898332437,0.1874441107740189,0.002406862882974142,1
74t7kcdgkr,c8-11,sequential_mechanical_oracle,0.1875,22281.0,0.18727306347498654,0.1859299407027103,0.0024065651567647837,1
74t7kcdgkr,c8-11,sequential_mechanical_oracle,0.25,29567.0,0.24851230500268962,0.1844065961936402,0.0024048574750597644,1
74t7kcdgkr,c8-11,uniform,0.03125,3720.0,0.03126681011296396,0.18834576007349646,0.003663424665221312,1
74t7kcdgkr,c8-11,uniform,0.0625,7213.0,0.060625672404518556,0.18869812000309105,0.003425373042753932,1
74t7kcdgkr,c8-11,uniform,0.09375,11070.0,0.09304397525551372,0.18828041560862385,0.00303851441394694,1
74t7kcdgkr,c8-11,uniform,0.125,14808.0,0.1244620763851533,0.18782983837448064,0.0027992170808912894,1
74t7kcdgkr,c8-11,uniform,0.1875,22188.0,0.18649139322216246,0.18622360295397378,0.0025118869451115924,1
