initial_checkpoint,current_checkpoint,metric,statistical_unit,contrast,left_source,right_source,estimate,bootstrap_mean,ci95_lower,ci95_upper,fraction_above_zero,bootstrap_replicates,seed
0.03125,0.125,mean_absolute_value_shift,physical_specimen_within_domain,shuffled,shuffled,zero,0.0024186176926480744,0.002417912815504879,0.0023341895927337314,0.002505161556198978,1,5000,20250826
0.03125,0.125,mean_absolute_value_shift,physical_specimen_within_domain,static,static,zero,0.0026332357066194624,0.0026330648279242913,0.002558109687290347,0.002708755512227342,1,5000,20250826
0.03125,0.125,mean_absolute_value_shift,physical_specimen_within_domain,teacher,teacher,zero,0.0024838116308265384,0.0024838914043107097,0.002367406996261555,0.002605803116992222,1,5000,20250826
0.03125,0.125,rank_spearman,physical_specimen_within_domain,positions_only,positions_only,zero,0.9741133364697873,0.9741221499771531,0.9713491530749256,0.9762249325499689,1,5000,20250826
0.03125,0.125,rank_spearman,physical_specimen_within_domain,real,real,zero,0.973266801940174,0.9732748536081824,0.9721211601388211,0.974440531325054,1,5000,20250826
0.03125,0.125,rank_spearman,physical_specimen_within_domain,real_minus_positions_only,real,positions_only,-0.000846534529613252,-0.0008472963689706422,-0.003246508448677679,0.00193424196036436,0.246,5000,20250826
0.03125,0.125,rank_spearman,physical_specimen_within_domain,real_minus_shuffled,real,shuffled,0.010981788079972521,0.010971084465421794,0.007764495920407044,0.014216158955022358,1,5000,20250826
0.03125,0.125,rank_spearman,physical_specimen_within_domain,real_minus_static,real,static,0.010323445716188595,0.010323830757230461,0.008211336728457206,0.012547710799647687,1,5000,20250826
0.03125,0.125,rank_spearman,physical_specimen_within_domain,shuffled,shuffled,zero,0.9622850138602015,0.9623037691427607,0.9594704616242776,0.9651401561572902,1,5000,20250826
0.03125,0.125,rank_spearman,physical_specimen_within_domain,static,static,zero,0.9629433562239854,0.9629510228509521,0.9612621991642658,0.9646220137420957,1,5000,20250826
0.03125,0.125,rank_spearman,physical_specimen_within_domain,teacher,teacher,zero,0.4511782846530034,0.450663353049742,0.41525603166607283,0.4858108324628408,1,5000,20250826
0.03125,0.125,top_k_jaccard,physical_specimen_within_domain,positions_only,positions_only,zero,0.7907295763408824,0.7908181441445115,0.7781895185950028,0.803318684803478,1,5000,20250826
0.03125,0.125,top_k_jaccard,physical_specimen_within_domain,real,real,zero,0.8227043308273453,0.8227541950808334,0.8126684576673908,0.832828691455799,1,5000,20250826
0.03125,0.125,top_k_jaccard,physical_specimen_within_domain,real_minus_positions_only,real,positions_only,0.03197475448646292,0.03193605093632193,0.015550315137910928,0.04791627405539571,1,5000,20250826
0.03125,0.125,top_k_jaccard,physical_specimen_within_domain,real_minus_shuffled,real,shuffled,0.06841293323152775,0.0685028145276879,0.05204564828331774,0.08472105181449187,1,5000,20250826
0.03125,0.125,top_k_jaccard,physical_specimen_within_domain,real_minus_static,real,static,-0.01219715058276638,-0.012276627484488753,-0.025586622722920123,0.0008732510264606957,0.0364,5000,20250826
0.03125,0.125,top_k_jaccard,physical_specimen_within_domain,shuffled,shuffled,zero,0.7542913975958175,0.7542513805531454,0.7425684164357418,0.765510038733074,1,5000,20250826
0.03125,0.125,top_k_jaccard,physical_specimen_within_domain,static,static,zero,0.8349014814101117,0.8350308225653221,0.8232699314421198,0.8463963670869957,1,5000,20250826
0.03125,0.125,top_k_jaccard,physical_specimen_within_domain,teacher,teacher,zero,0.3074403870321866,0.3072846302869166,0.2925555578509459,0.3218919957111452,1,5000,20250826
0.03125,0.1875,best_action_turnover,physical_specimen_within_domain,positions_only,positions_only,zero,0.2290426117222908,0.22859993858268435,0.20424060149983922,0.2530577531030622,1,5000,20250826
0.03125,0.1875,best_action_turnover,physical_specimen_within_domain,real,real,zero,0.2834304195899651,0.28356648736876194,0.26228921833931446,0.3054777599009693,1,5000,20250826
0.03125,0.1875,best_action_turnover,physical_specimen_within_domain,real_minus_positions_only,real,positions_only,0.05438780786767433,0.054966548786077624,0.023275857265527482,0.08644034138721925,1,5000,20250826
0.03125,0.1875,best_action_turnover,physical_specimen_within_domain,real_minus_shuffled,real,shuffled,-0.07764908906210127,-0.07747855842755838,-0.10993526168751337,-0.04409943265732332,0,5000,20250826
0.03125,0.1875,best_action_turnover,physical_specimen_within_domain,real_minus_static,real,static,0.06373829726069216,0.06392612256238263,0.0334512526459457,0.09431125108430247,1,5000,20250826
0.03125,0.1875,best_action_turnover,physical_specimen_within_domain,shuffled,shuffled,zero,0.3610795086520664,0.36104504579632035,0.33886747332932443,0.38295359832532383,1,5000,20250826
