outer_domain,domain_id,initial_checkpoint,current_checkpoint,value_source,specimen_count,trajectory_count,state_pair_count,common_candidate_count,rank_spearman,top_k_jaccard,best_action_turnover,mean_absolute_value_shift,dynamic_vs_initial_opportunity,top_k
ykhs7s2dck,ykhs7s2dck,0.03125,0.09375,positions_only,38,190,190,47.98947368421052,0.9962858074490241,0.9456140350877192,0,0.0032367759882477136,0,5
ykhs7s2dck,ykhs7s2dck,0.03125,0.09375,real,38,190,190,47.98947368421052,0.9891051080019948,0.8987468671679197,0.010526315789473684,0.0059350392049109454,0.000006887005705663876,5
ykhs7s2dck,ykhs7s2dck,0.03125,0.09375,shuffled,38,190,190,47.98947368421052,0.9926820005289237,0.8543859649122808,0.01578947368421053,0.003325181438179116,-0.000006146377527765046,5
ykhs7s2dck,ykhs7s2dck,0.03125,0.09375,static,38,190,190,47.98947368421052,0.9949224030232786,0.9596491228070176,0.0368421052631579,0.0012947723023583608,-0.00006696203002550045,5
ykhs7s2dck,ykhs7s2dck,0.03125,0.09375,teacher,38,190,190,47.98947368421052,0.5434644784083633,0.3330618212197159,0.6210526315789474,0.001800281036223196,0.004262499370081969,5
ykhs7s2dck,ykhs7s2dck,0.03125,0.125,positions_only,38,190,190,41.81578947368421,0.992453024910706,0.893984962406015,0.010526315789473684,0.0044593416667990035,0.000016728175731113644,5
ykhs7s2dck,ykhs7s2dck,0.03125,0.125,real,38,190,190,41.81578947368421,0.9742277683373116,0.725814536340852,0.06315789473684212,0.008012699410384924,-0.00001620301660823293,5
ykhs7s2dck,ykhs7s2dck,0.03125,0.125,shuffled,38,190,190,41.81578947368421,0.9877093517787522,0.8662280701754386,0.1473684210526316,0.004545857458487977,-0.000035649874050224766,5
ykhs7s2dck,ykhs7s2dck,0.03125,0.125,static,38,190,190,41.81578947368421,0.9901700901696554,0.9578947368421052,0.04736842105263158,0.001854401786359901,-0.00007194845035852244,5
ykhs7s2dck,ykhs7s2dck,0.03125,0.125,teacher,38,190,190,41.81578947368421,0.4913136475243628,0.3212406015037594,0.6526315789473685,0.001978318943100249,0.004192238611192887,5
ykhs7s2dck,ykhs7s2dck,0.03125,0.1875,positions_only,38,190,190,31.22631578947368,0.9758784129949907,0.8481203007518797,0.06315789473684212,0.006881294106873204,-0.00009486605322451766,5
ykhs7s2dck,ykhs7s2dck,0.03125,0.1875,real,38,190,190,31.22631578947368,0.9466945044176058,0.6470551378446114,0.10526315789473684,0.009985738248300737,0.00018241692525466455,5
ykhs7s2dck,ykhs7s2dck,0.03125,0.1875,shuffled,38,190,190,31.22631578947368,0.9737840480457135,0.8536967418546366,0.15789473684210525,0.005589987618275151,0.00003110499316325039,5
ykhs7s2dck,ykhs7s2dck,0.03125,0.1875,static,38,190,190,31.22631578947368,0.9753535829675537,0.8904761904761904,0.0736842105263158,0.0033313185553471452,-0.00003499625750470937,5
ykhs7s2dck,ykhs7s2dck,0.03125,0.1875,teacher,38,190,190,31.22631578947368,0.4524536917333666,0.32245196324143693,0.6736842105263158,0.002071900973982039,0.003656115474639106,5
